"replicate","max_LRT","argmax_breakpoint_m","n_singular","n_warn"
629,2.23979933441592,0.46,35,0
630,3.12436866942215,0.22,28,10
631,1.00109609810011,0.59,0,0
632,1.32012940915473,0.2,0,4
633,1.33407243352929,0.53,0,0
634,4.31905777462384,0.56,0,19
635,0.499298652475204,0.36,0,0
636,1.93678871826353,0.22,0,0
637,0.756064867691066,0.6,41,0
638,3.90789440734306,0.57,0,0
639,0.613416030389089,0.2,17,0
640,1.41575092706159,0.6,0,1
641,0.590464442194161,0.21,0,0
642,0.74164570797393,0.56,6,2
643,0.922495007771772,0.22,5,3
644,4.47021308169019,0.29,14,11
645,1.32248360183507,0.4,41,0
646,0.548620880739236,0.6,0,0
647,1.48283890478535,0.3,0,1
648,0.876997926599756,0.29,0,1
649,1.63536555352186,0.23,0,0
650,2.25924285794025,0.57,0,0
651,1.57801040855156,0.2,0,0
652,0.919143241825964,0.32,31,0
653,3.10125535738939,0.23,3,11
654,3.6583143439633,0.27,0,0
655,3.20691820128638,0.33,0,1
656,4.45993953309556,0.55,0,0
657,0.39973208092772,0.56,0,0
658,2.05994450499526,0.47,0,0
659,3.87128468014294,0.31,38,0
660,2.03588964998897,0.25,0,1
661,2.24978004299277,0.2,41,0
662,1.61303640840151,0.38,20,2
663,1.12408439623096,0.33,0,0
664,1.33373579999011,0.24,39,0
665,0.698543602140717,0.49,0,0
666,0.0660952325492872,0.2,19,0
667,8.38788089493346,0.6,36,0
668,1.20975073124316,0.2,0,1
669,2.85624192875093,0.2,12,1
670,0.432709023760253,0.36,0,0
671,0.393445365039156,0.2,0,0
672,6.90772343082722,0.56,0,1
673,1.04408604217281,0.3,25,0
674,0.976444911895328,0.51,30,0
675,1.11091357657995,0.52,0,0
676,7.92889319737526,0.23,40,0
677,1.16725758628536,0.56,20,2
678,1.93173699689009,0.55,0,0
679,6.43859537363574,0.41,0,0
680,2.08200049441166,0.38,30,0
681,0.510047044899579,0.34,5,0
682,1.10295452825505,0.47,0,0
683,7.1766655199001,0.48,0,1
684,2.6219037966373,0.6,0,4
685,2.59574860276518,0.21,0,0
686,7.49266827824653,0.6,0,0
687,1.29315112838015,0.36,0,0
688,2.78904607332129,0.57,33,0
689,1.90190413213236,0.52,24,1
690,1.6739416050309,0.39,0,0
691,2.04919710742939,0.24,15,0
692,2.41824962872829,0.6,0,0
693,2.33812257144973,0.6,22,1
694,0.480428038085279,0.5,5,5
695,4.77805135634128,0.29,0,0
696,3.15352002524963,0.25,0,1
697,0.715481699857492,0.2,28,0
698,1.66107847050307,0.46,0,0
699,3.86132393426794,0.37,0,0
700,0.839129389213781,0.6,0,0
701,0.522840679105343,0.48,17,1
702,0.363370504010049,0.45,0,1
703,2.72970245872136,0.2,24,1
704,3.94992600127557,0.6,0,0
705,2.30103226804658,0.59,9,2
706,0.842583125751503,0.39,32,2
707,0.471289175249581,0.21,0,0
708,3.98548196426168,0.2,21,0
709,1.23197870306421,0.37,30,0
710,1.79409151071059,0.55,0,0
711,0.163014100871237,0.21,36,0
712,2.01331589660379,0.28,0,0
713,0.74331326513493,0.53,1,6
714,3.18401553108185,0.36,0,0
715,0.537205779785495,0.29,41,0
716,0.850839718003044,0.29,41,0
717,2.3523101032763,0.45,8,9
718,0.894691106836774,0.2,0,1
719,3.35883336906795,0.6,35,0
720,1.88673590240114,0.29,34,0
721,3.61642530308529,0.25,33,4
722,1.1600792988288,0.33,32,2
723,0.867961315633863,0.57,2,8
724,0.961767089009072,0.27,22,0
725,3.07358559716351,0.38,21,0
726,0.706533399637351,0.58,0,0
727,1.83589627042534,0.48,0,1
728,0.537573288014187,0.24,0,0
729,1.12444655749255,0.5,21,2
730,5.01616390669676,0.2,0,0
731,0.807373679563511,0.59,0,0
732,4.52603509211053,0.6,30,0
733,3.13525337648855,0.21,0,0
734,0.26064177635044,0.25,0,0
735,0.805887562807413,0.51,0,1
736,0.28840093025093,0.36,0,4
737,0.739467425912153,0.24,0,7
738,1.47056691005218,0.46,28,0
739,4.89236820938095,0.38,41,0
740,4.10020695244737,0.33,41,0
741,1.94595402200184,0.51,0,0
742,0.472224007478701,0.2,0,0
743,0.324433998652694,0.22,35,0
744,1.12567130767184,0.38,0,0
745,1.29502968474992,0.2,0,5
746,1.22972293302939,0.43,31,0
747,3.6172563708343,0.2,39,1
748,1.76519576266048,0.35,30,0
749,2.46965846322337,0.6,0,0
750,0.345222520704397,0.6,0,0
751,3.842904112361,0.43,0,0
752,2.61573852022968,0.26,0,0
753,1.66546013969833,0.26,28,0
754,9.32802118403265,0.57,0,0
755,1.79821777220673,0.2,0,0
756,1.80162402675614,0.2,24,1
757,11.6867965843228,0.6,4,4
758,0.918798909831764,0.2,32,0
759,2.00421193644462,0.24,10,1
760,0.987475931316112,0.6,0,0
761,5.93234240714594,0.22,0,0
762,5.78801921193781,0.6,40,1
763,1.16100589770281,0.58,39,1
764,1.25162652508595,0.29,37,0
765,2.54324842802862,0.6,0,0
766,12.8677222101276,0.58,0,0
