participantId,level,run_id,run_start,run_end,run_samples,run_duration,levelTime,n_runs,run_dur_diff,is_matched_run
P008,22,24,917.404,923.517,56,6.113000000000056,6.29339599609375,1,-0.1803959960936936,TRUE
P008,23,25,923.628,973.273,451,49.64499999999998,49.7843017578125,1,-0.1393017578125182,TRUE
P008,24,26,973.385,1012.508,353,39.12300000000005,39.1790771484375,1,-0.056077148437452706,TRUE
P009,1,1,39.995,85.547,411,45.552,45.689910888671875,1,-0.1379108886718754,TRUE
P009,2,2,85.657,143.405,521,57.748000000000005,57.84374237060547,1,-0.09574237060546409,TRUE
P009,3,3,143.515,188.649,409,45.134000000000015,45.2305908203125,1,-0.09659082031248545,TRUE
P009,4,4,188.759,234.934,418,46.17500000000001,46.34193420410156,1,-0.16693420410155113,TRUE
P009,5,5,235.047,268.491,302,33.44399999999999,33.52784729003906,1,-0.0838472900390741,TRUE
P009,6,6,268.602,298.668,272,30.06600000000003,30.17724609375,1,-0.11124609374996908,TRUE
P009,7,7,298.779,360.887,560,62.108000000000004,62.261077880859375,1,-0.1530778808593709,TRUE
P009,8,8,360.999,411.08,452,50.08099999999996,50.12347412109375,1,-0.04247412109378956,TRUE
P009,9,9,411.192,439.489,259,28.29699999999997,28.478668212890625,1,-0.18166821289065638,TRUE
P009,10,10,439.601,499.347,540,59.74599999999998,59.856842041015625,1,-0.1108420410156441,TRUE
P009,11,11,499.458,551.747,479,52.28899999999993,52.430206298828125,1,-0.14120629882819458,TRUE
P009,12,12,551.86,600.772,442,48.912000000000035,48.96771240234375,1,-0.05571240234371544,TRUE
P009,13,13,600.883,662.877,559,61.993999999999915,62.091064453125,1,-0.09706445312508549,TRUE
P009,14,14,662.988,676.544,123,13.555999999999926,13.72210693359375,1,-0.16610693359382367,TRUE
P009,15,15,676.657,706.259,269,29.601999999999975,29.6619873046875,1,-0.059987304687524556,TRUE
P009,16,16,706.359,728.457,200,22.097999999999956,22.20965576171875,1,-0.11165576171879366,TRUE
P009,17,17,728.567,762.44,306,33.87300000000005,33.94171142578125,1,-0.0687114257812027,TRUE
P009,18,18,762.551,781.755,174,19.20399999999995,19.328857421875,1,-0.12485742187504911,TRUE
P009,19,19,781.866,806.698,225,24.831999999999994,25.02569580078125,1,-0.19369580078125637,TRUE
P009,20,20,806.809,858.059,463,51.25,51.2779541015625,1,-0.0279541015625,TRUE
P009,21,21,858.17,912.345,489,54.17500000000007,54.3267822265625,1,-0.1517822265624318,TRUE
P009,22,22,912.455,948.189,323,35.733999999999924,35.8865966796875,1,-0.1525966796875764,TRUE
P009,23,23,948.3,983.238,317,34.9380000000001,35.021484375,1,-0.08348437499989814,TRUE
P009,24,24,983.349,1033.971,457,50.62199999999996,50.7470703125,1,-0.12507031250004275,TRUE
P010,1,1,172.501,257.461,769,84.96000000000001,85.08711242675781,1,-0.12711242675780454,TRUE
P010,2,2,257.566,360.002,925,102.43600000000004,102.52590942382812,1,-0.08990942382808953,TRUE
P010,3,3,360.117,410.683,458,50.565999999999974,50.761474609375,1,-0.19547460937502592,TRUE
P010,4,4,410.798,470.061,537,59.26299999999998,59.296234130859375,1,-0.03323413085939819,TRUE
P010,5,5,470.172,501.337,282,31.164999999999964,31.3040771484375,1,-0.13907714843753638,TRUE
P010,6,6,501.447,548.528,425,47.08100000000002,47.232025146484375,1,-0.15102514648435772,TRUE
P010,7,7,548.639,569.261,187,20.621999999999957,20.69244384765625,1,-0.07044384765629275,TRUE
P010,8,8,569.372,593.843,222,24.471000000000004,24.55450439453125,1,-0.08350439453124636,TRUE
P010,9,9,593.943,611.771,164,17.827999999999975,18.01849365234375,1,-0.19049365234377547,TRUE
P010,10,10,611.876,635.104,211,23.228000000000065,23.2696533203125,1,-0.041653320312434516,TRUE
P010,11,11,635.215,649.324,128,14.108999999999924,14.24786376953125,1,-0.1388637695313264,TRUE
P010,12,12,649.436,691.902,384,42.46600000000001,42.6094970703125,1,-0.14349707031249181,TRUE
P010,13,13,692.003,713.446,194,21.442999999999984,21.553955078125,1,-0.11095507812501637,TRUE
P010,14,14,713.557,754.775,372,41.21799999999996,41.31475830078125,1,-0.09675830078128911,TRUE
P010,15,15,754.889,771.786,154,16.896999999999935,16.95574951171875,1,-0.058749511718815484,TRUE
P010,16,16,771.897,796.995,227,25.097999999999956,25.18115234375,1,-0.08315234375004366,TRUE
P010,17,17,797.106,813.995,153,16.88900000000001,16.99945068359375,1,-0.11045068359374,TRUE
P010,18,18,814.106,851.535,338,37.428999999999974,37.54034423828125,1,-0.11134423828127638,TRUE
P010,19,19,851.646,888.82,339,37.17400000000009,37.29901123046875,1,-0.12501123046865814,TRUE
P010,20,20,888.93,927.999,354,39.069000000000074,39.22027587890625,1,-0.15127587890617633,TRUE
P010,21,21,928.109,952.563,222,24.45399999999995,24.5091552734375,1,-0.05515527343754911,TRUE
P010,22,22,952.674,972.869,183,20.19500000000005,20.37567138671875,1,-0.18067138671869998,TRUE
P010,23,23,972.97,1004.824,288,31.853999999999928,31.90020751953125,1,-0.04620751953132185,TRUE
P010,24,24,1004.934,1029.418,222,24.483999999999924,24.66546630859375,1,-0.1814663085938264,TRUE
P011,1,1,24.159,97.487,662,73.328,73.49425506591797,1,-0.1662550659179658,TRUE
P011,2,2,97.597,133.817,330,36.22000000000001,36.35871887207031,1,-0.13871887207029943,TRUE
P011,3,3,133.93,152.802,171,18.871999999999986,18.94293212890625,1,-0.07093212890626432,TRUE
