participantId,level,run_id,run_start,run_end,run_samples,run_duration,gap_to_next_s,gap_from_prev_s
P005,1,1,123.124,174.931,471,51.807000000000016,0.10699999999999932,NA
P005,2,2,175.038,237.711,571,62.673,0.11099999999999,0.10699999999999932
P005,3,3,237.822,279.615,379,41.793000000000006,0.11199999999996635,0.11099999999999
P005,4,4,279.727,312.833,299,33.10600000000005,0.11099999999999,0.11199999999996635
P005,5,5,312.944,359.15,417,46.20599999999996,0.11100000000004684,0.11099999999999
P005,6,6,359.261,400.91,376,41.649,0.10899999999998045,0.11100000000004684
P005,7,7,401.019,427.352,238,26.33299999999997,0.11000000000001364,0.10899999999998045
P005,8,8,427.462,504.32,693,76.858,0.11000000000001364,0.11000000000001364
P005,9,9,504.43,571.801,611,67.37100000000004,0.11099999999999,0.11000000000001364
P005,10,10,571.912,582.91,100,10.997999999999934,0.11000000000001364,0.11099999999999
P005,11,11,583.02,629.574,420,46.553999999999974,0.11099999999999,0.11000000000001364
P005,12,12,629.685,724.108,851,94.423,0.11000000000001364,0.11099999999999
P005,13,13,724.218,757.396,300,33.178,0.11099999999999,0.11000000000001364
P005,14,14,757.507,821.788,588,64.28100000000006,0.11400000000003274,0.11099999999999
P005,15,15,821.902,858.777,333,36.875,0.11099999999999,0.11400000000003274
P005,16,16,858.888,879.775,189,20.886999999999944,0.11300000000005639,0.11099999999999
P005,17,17,879.888,898.206,166,18.317999999999984,0.11400000000003274,0.11300000000005639
P005,18,18,898.32,941.421,389,43.101,0.11099999999999,0.11400000000003274
P005,19,19,941.532,988.235,423,46.702999999999975,0.11000000000001364,0.11099999999999
P005,20,20,988.345,997.762,87,9.416999999999916,0.11100000000010368,0.11000000000001364
P005,21,21,997.873,1032.927,317,35.05399999999986,0.11200000000008004,0.11100000000010368
P005,22,22,1033.039,1060.847,252,27.807999999999993,0.11100000000010368,0.11200000000008004
P005,23,23,1060.958,1090.178,264,29.220000000000027,0.11099999999987631,0.11100000000010368
P005,24,24,1090.289,1107.798,159,17.509000000000015,NA,0.11099999999987631
P006,1,1,228.058,323.369,865,95.31100000000004,0.1139999999999759,NA
P006,2,2,323.483,357.729,310,34.24599999999998,0.11400000000003274,0.1139999999999759
P006,3,3,357.843,405.776,433,47.93299999999999,0.11099999999999,0.11400000000003274
P006,4,4,405.887,445.568,359,39.68099999999998,0.11099999999999,0.11099999999999
P006,5,5,445.679,461.678,145,15.999000000000024,0.11000000000001364,0.11099999999999
P006,6,6,461.788,489.677,252,27.88900000000001,0.11099999999999,0.11000000000001364
P006,7,7,489.788,556.199,603,66.41099999999994,0.11099999999999,0.11099999999999
P006,8,8,556.31,601.595,410,45.28500000000008,0.11000000000001364,0.11099999999999
P006,9,9,601.705,632.596,279,30.890999999999963,0.11000000000001364,0.11000000000001364
P006,10,10,632.706,712.792,723,80.08600000000001,0.11099999999999,0.11000000000001364
P006,11,11,712.903,761.764,441,48.86099999999999,0.11099999999999,0.11099999999999
P006,12,12,761.875,817.041,499,55.166000000000054,0.10099999999999909,0.11099999999999
P006,13,13,817.142,831.345,129,14.202999999999975,0.11099999999999,0.10099999999999909
P006,14,14,831.456,853.421,199,21.965000000000032,0.10399999999992815,0.11099999999999
P006,15,15,853.525,908.379,495,54.85400000000004,0.11000000000001364,0.10399999999992815
P006,16,16,908.489,950.801,382,42.31200000000001,0.11099999999999,0.11000000000001364
P006,17,17,950.912,977.913,245,27.000999999999976,0.10400000000004184,0.11099999999999
P006,18,18,978.017,997.192,174,19.174999999999955,0.11199999999996635,0.10400000000004184
P006,19,19,997.304,1011.08,125,13.776000000000067,0.11000000000001364,0.11199999999996635
P006,20,20,1011.19,1041.272,272,30.08199999999988,0.11200000000008004,0.11000000000001364
P006,21,21,1041.384,1056.493,137,15.108999999999924,0.11100000000010368,0.11200000000008004
P006,22,22,1056.604,1069.058,113,12.453999999999951,0.11100000000010368,0.11100000000010368
P006,23,23,1069.169,1101.808,295,32.638999999999896,0.11100000000010368,0.11100000000010368
P006,24,24,1101.919,1126.469,223,24.549999999999955,NA,0.11100000000010368
P007,1,1,72.824,127.394,493,54.57000000000001,0.11499999999999488,NA
P007,2,2,127.509,161.848,311,34.33900000000001,0.11199999999999477,0.11499999999999488
P007,3,3,161.96,205.364,392,43.403999999999996,0.11099999999999,0.11199999999999477
P007,4,4,205.475,238.67,300,33.19499999999999,0.11400000000000432,0.11099999999999
P007,5,5,238.784,259.093,185,20.309000000000026,0.1069999999999709,0.11400000000000432
P007,6,6,259.2,269.557,95,10.357000000000028,0.11099999999999,0.1069999999999709
P007,7,7,269.668,306.917,337,37.24899999999997,0.11100000000004684,0.11099999999999
P007,8,8,307.028,321.766,134,14.738,0.11099999999999,0.11100000000004684
P007,9,9,321.877,346.325,221,24.44799999999998,0.11099999999999,0.11099999999999
P007,10,10,346.436,407.225,553,60.789000000000044,0.10800000000000409,0.11099999999999
P007,11,11,407.333,445.929,350,38.59599999999995,0.11000000000001364,0.10800000000000409
P007,12,12,446.039,482.82,332,36.781000000000006,0.11000000000001364,0.11000000000001364
P007,13,13,482.93,513.333,278,30.402999999999963,0.11200000000008004,0.11000000000001364
P007,14,14,513.445,541.001,249,27.555999999999926,0.11099999999999,0.11200000000008004
P007,15,15,541.112,571.046,273,29.934000000000083,0.1049999999999045,0.11099999999999
P007,16,16,571.151,609.987,351,38.83600000000001,0.11300000000005639,0.1049999999999045
P007,17,17,610.1,637.306,246,27.206000000000017,0.11099999999999,0.11300000000005639
P007,18,18,637.417,658.641,192,21.223999999999933,0.11099999999999,0.11099999999999
P007,19,19,658.752,678.623,182,19.871000000000095,0.1129999999999427,0.11099999999999
P007,20,20,678.736,712.983,311,34.24699999999996,0.10700000000008458,0.1129999999999427
P007,21,21,713.09,733.641,186,20.55099999999993,0.11099999999999,0.10700000000008458
P007,22,22,733.752,766.026,293,32.274,0.11099999999999,0.11099999999999
P007,23,23,766.137,787.733,198,21.596000000000004,0.10300000000006548,0.11099999999999
P007,24,24,787.836,801.612,126,13.775999999999954,NA,0.10300000000006548
P008,1,1,83.549,144.588,551,61.03899999999999,0.11100000000001842,NA
P008,2,2,144.699,189.546,406,44.84699999999998,0.11199999999999477,0.11100000000001842
P008,3,3,189.658,221.195,285,31.537000000000006,0.11100000000001842,0.11199999999999477
P008,4,4,221.306,245.749,221,24.442999999999984,0.11100000000001842,0.11100000000001842
P008,5,5,245.86,289.078,390,43.21799999999996,0.11000000000001364,0.11100000000001842
P008,6,6,289.188,359.725,636,70.53700000000003,0.10099999999999909,0.11000000000001364
P008,7,7,359.826,373.6,125,13.774000000000001,0.1099999999999568,0.10099999999999909
P008,8,8,373.71,406.241,297,32.531000000000006,0.10400000000004184,0.1099999999999568
